SOURCE,TARGET
290961,155601
293298,122101
293298,16581
297364,79230
297364,40977
297364,619702
298263,751964
298263,87969
298263,24967
298711,1850070
298736,972
298736,202205
298736,687670
298736,54020
298736,114741
298736,624754
298852,163643
298852,36762
298852,27802
298852,153963
298852,91990
298852,26979
298852,319409
299157,991204
299685,633124
302114,106885
302114,277221
302114,27805
302114,165811
302114,547088
304933,352587
304933,46104
304933,35821
304933,36762
304933,91990
304933,163643
304933,195063
304933,150473
307428,258568
307428,99340
307428,224499
307428,107667
307428,83474
307428,107158
309506,24967
309607,116397
310312,80388
310465,101412
310720,628398
312340,16327
312340,549944
312340,321496
313975,27930
313975,35821
313975,24967
314031,214652
314031,4420
314289,198838
315047,49344
315047,254160
315047,30906
315047,86106
315047,808668
315047,24967
315047,5449
315522,199303
320051,24286
320051,249748
320775,258568
320775,157079
320775,1175666
320775,2743481
322017,960720
322017,107229
322017,17943
322039,57511
322039,116002
322618,107403
322618,39567
325151,282415
325244,262198
325244,1850070
325244,99340
325244,241634
325832,23
325832,16496
325832,24967
325832,16747
325832,258568
327076,99872
327076,128191
327076,281751
327191,12363
328724,201798
328724,85730
328724,54136
328724,146719
329051,77375
329051,16102
329481,1837556
329570,36762
329570,91990
329570,54892
331228,33667
333159,30906
333159,401559
333159,395289
333159,208732
333159,112500
333159,168251
333159,683300
334111,42239
334111,57130
334111,220136
334965,24967
334971,643820
336254,65776
336254,1167326
336910,66894
336910,35997
336910,51467
336910,262198
336910,48877
337589,48877
337589,1524200
339326,4736
339326,56282
339335,87585
339714,58600
339714,105002
339714,108450
339798,305669
340531,65088
340531,55284
340531,99644
340531,155601
340531,157725
340531,1167326
340667,48877
341085,55005
341229,116305
341229,820356
341395,9446
341395,39567
341395,118908
341395,54136
341395,26979
341395,116002
341395,773216
342613,100291
342613,47098
342613,672996
342613,428960
345239,108450
346106,1152646
346106,726432
346106,1468898
346106,80531
346106,754304
346803,72012
346803,25523
348120,1253098
348120,1241698
348120,740628
348228,4166
348228,9446
348228,305669
348228,123766
348228,17028
348228,100267
349968,65088
349968,222746
349968,33528
350126,309607
350126,9446
350444,617756
350444,780508
350444,125378
351388,80954
351388,875050
353190,77375
353190,244460
353190,145945
353190,404732
353589,89512
354059,118908
354424,130486
354705,226976
355033,205645
355033,70688
355880,733370
355880,1773
355880,51132
358721,100291
358721,301925
358721,299607
359881,105066
360690,262198
360968,65776
360968,234000
360968,751908
360968,395439
360968,258568
360968,160302
361659,87203
361659,1825768
362044,48877
362406,239911
362406,88701
362406,128537
362406,255704
362649,246492
362649,35821
365356,1652472
366134,172845
366639,1167326
366695,164217
366695,381064
367108,30906
367108,53081
367108,67
367215,74392
367215,90604
367287,61203
367646,25735
367646,66163
367646,499438
367646,243377
368076,212904
368076,81488
368076,160479
368076,241220
368076,37679
368076,65676
368076,499438
368076,598310
368076,748566
368613,1274
368613,99644
369147,33570
370574,38580
370574,65776
370574,241634
370574,1011436
